latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.622143,-58.40909,19.0,-10800,America/Argentina/Buenos_Aires,-03

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm),rain_sum (mm),wind_direction_10m_dominant (°)
2010-01-01,51,24.4,18.8,21.7,26.3,16.5,21.5,0.60,0.60,11
2010-01-02,0,27.8,19.2,23.9,33.0,20.9,26.7,0.00,0.00,305
2010-01-03,51,28.6,21.8,25.1,32.9,22.7,27.2,0.10,0.10,71
2010-01-04,63,26.0,21.3,23.9,30.4,22.3,26.6,20.20,20.20,89
2010-01-05,63,29.0,21.3,25.0,34.5,24.7,29.1,5.60,5.60,95
2010-01-06,65,23.6,18.8,21.9,26.1,14.4,20.7,14.30,14.30,174
2010-01-07,1,23.9,17.2,20.7,25.4,16.1,20.2,0.00,0.00,31
2010-01-08,0,25.7,17.8,21.8,28.3,15.7,22.1,0.00,0.00,45
2010-01-09,0,28.4,19.5,24.4,33.1,21.0,27.6,0.00,0.00,73
2010-01-10,61,29.5,21.9,25.0,34.0,19.9,27.8,3.60,3.60,135
2010-01-11,3,28.5,20.6,24.4,31.6,19.7,25.0,0.00,0.00,61
2010-01-12,65,25.9,18.5,21.8,26.2,13.7,19.6,27.80,27.80,240
2010-01-13,0,26.6,15.9,21.2,25.5,14.7,20.0,0.00,0.00,289
2010-01-14,0,28.3,17.1,23.2,32.2,17.3,24.4,0.00,0.00,314
2010-01-15,2,29.4,20.6,24.9,31.9,21.1,26.4,0.00,0.00,341
2010-01-16,51,24.2,21.2,22.9,25.3,22.4,23.6,0.40,0.40,30
2010-01-17,0,30.7,20.8,25.4,33.4,21.8,27.5,0.00,0.00,339
2010-01-18,3,29.2,22.8,26.3,35.4,25.8,29.8,0.00,0.00,46
2010-01-19,63,25.5,21.2,23.5,29.3,22.5,25.2,22.70,22.70,170
2010-01-20,1,26.2,19.1,22.9,30.9,21.0,25.4,0.00,0.00,73
2010-01-21,0,29.9,22.0,25.6,34.3,23.7,28.6,0.00,0.00,7
2010-01-22,51,28.9,21.3,25.1,34.8,23.2,28.8,0.10,0.10,105
2010-01-23,51,29.0,22.7,25.4,35.3,25.3,29.0,0.20,0.20,92
2010-01-24,1,28.6,22.7,25.4,33.6,24.6,28.3,0.00,0.00,58
2010-01-25,0,29.6,22.6,26.1,32.5,25.4,28.6,0.00,0.00,105
2010-01-26,0,28.8,23.3,25.8,32.8,25.2,28.2,0.00,0.00,77
2010-01-27,0,29.4,23.5,26.2,32.6,25.8,28.9,0.00,0.00,68
2010-01-28,0,30.1,23.6,26.7,33.9,25.2,29.4,0.00,0.00,36
2010-01-29,1,31.2,23.9,27.5,35.1,25.4,30.2,0.00,0.00,15
2010-01-30,51,31.2,24.4,27.1,34.1,24.6,29.9,0.30,0.30,114
2010-01-31,63,27.8,24.5,26.0,31.4,25.7,29.0,6.00,6.00,58
2010-02-01,63,30.4,24.2,26.9,35.6,28.5,31.8,4.40,4.40,4
2010-02-02,63,29.2,24.0,25.6,33.1,26.8,28.8,31.60,31.60,12
2010-02-03,63,31.7,24.2,26.7,39.2,27.4,30.9,27.50,27.50,73
2010-02-04,53,26.1,23.3,24.6,28.8,24.4,27.3,1.80,1.80,117
2010-02-05,61,27.3,23.1,24.9,30.4,24.6,28.0,6.60,6.60,43
2010-02-06,65,27.4,23.4,24.7,32.1,26.2,28.8,69.50,69.50,56
2010-02-07,63,29.1,23.1,25.1,33.2,25.0,28.4,11.70,11.70,5
2010-02-08,1,27.8,20.6,23.9,27.9,21.8,24.7,0.00,0.00,257
2010-02-09,0,29.6,20.2,24.7,32.6,19.5,25.5,0.00,0.00,329
2010-02-10,61,27.2,22.1,24.4,31.7,21.5,26.3,5.20,5.20,360
2010-02-11,1,29.2,22.5,25.4,34.7,22.1,28.6,0.00,0.00,89
2010-02-12,0,29.0,23.7,26.2,34.0,27.2,30.2,0.00,0.00,89
2010-02-13,53,30.3,24.6,26.8,36.7,27.6,30.5,0.90,0.90,311
2010-02-14,3,24.6,18.4,21.7,26.5,15.8,20.0,0.00,0.00,125
