X,Y,OBJECTID,NRO,NroOACI,NOMBRE,PROVINCIA,LAT,LON,ALTURA,LATG,LATM,LONG,LONM
-34.5666666670785,-77.8666666667464,1,89034,SAYB,BASE BELGRANO II,ANTARTIDA,-77.86666667,-34.56666667,256,-77,52,-34,34
-58.6333333335225,-62.2333333333422,2,89053,SAYJ,BASE CARLINI (EX JUBANY),ANTARTIDA,-62.23333333,-58.63333333,11,-62,14,-58,38
-56.9833333336025,-63.4000000000989,3,88963,SAYE,BASE ESPERANZA,ANTARTIDA,-63.4,-56.98333333,24,-63,24,-56,59
-56.7166666664406,-64.2333333332023,4,89055,SAWB,BASE MARAMBIO,ANTARTIDA,-64.23333333,-56.71666667,198,-64,14,-56,43
-44.7166666666138,-60.7499999999338,5,88968,SAYO,BASE ORCADAS,ANTARTIDA,-60.75,-44.71666667,12,-60,45,-44,43
-67.1333333331378,-68.1333333334534,6,89066,SAYS,BASE SAN MARTIN,ANTARTIDA,-68.13333333,-67.13333333,7,-68,8,-67,8
-59.883333333598,-36.8333333331226,7,87641,SAZA,AZUL AERO,BUENOS AIRES,-36.83333333,-59.88333333,147,-36,50,-59,53
-62.1666666662309,-38.7333333336355,8,87750,SAZB,BAHIA BLANCA AERO,BUENOS AIRES,-38.73333333,-62.16666667,83,-38,44,-62,10
-59.7833333334123,-37.7166666668275,9,87649,SAZJ,BENITO JUAREZ AERO,BUENOS AIRES,-37.71666667,-59.78333333,207,-37,43,-59,47
-61.0666666668831,-36.2000000000125,10,87640,SAZI,BOLIVAR AERO,BUENOS AIRES,-36.2,-61.06666667,94,-36,12,-61,4
-61.3333333331467,-38.0166666665809,11,87683,SABP,CORONEL PRINGLES AERO,BUENOS AIRES,-38.01666667,-61.33333333,247,-38,1,-61,20
-61.8833333337189,-37.4333333331198,12,87637,SAZC,CORONEL SUAREZ AERO,BUENOS AIRES,-37.43333333,-61.88333333,233,-37,26,-61,53
-57.7333333336478,-36.3500000000103,13,87648,SAZD,DOLORES AERO,BUENOS AIRES,-36.35,-57.73333333,9,-36,21,-57,44
-58.6000000001273,-34.60000000035,14,87571,SADP,EL PALOMAR AERO,BUENOS AIRES,-34.6,-58.6,12,-34,36,-58,36
-58.5333333333368,-34.8166666666155,15,87576,SAEZ,EZEIZA AERO,BUENOS AIRES,-34.81666667,-58.53333333,20,-34,49,-58,32
-60.9166666670537,-34.5499999996601,16,87548,SAAJ,JUNIN AERO,BUENOS AIRES,-34.55,-60.91666667,81,-34,33,-60,55
-57.8999999997257,-34.966666666975,17,87593,SADL,LA PLATA AERO,BUENOS AIRES,-34.96666667,-57.9,23,-34,58,-57,54
-59.1333333335527,-36.0333333334409,18,87563,SAEL,LAS FLORES AERO,BUENOS AIRES,-36.03333333,-59.13333333,36,-36,2,-59,8
-57.5833333329201,-37.9333333330209,19,87692,SAZM,MAR DEL PLATA AERO,BUENOS AIRES,-37.93333333,-57.58333333,21,-37,56,-57,35
-58.8166666667472,-34.5499999996601,20,87572,SADJ,MARIANO MORENO AERO,BUENOS AIRES,-34.55,-58.81666667,32,-34,33,-58,49
-58.7333333337082,-34.6833333330691,21,87573,SADR,MERLO AERO,BUENOS AIRES,-34.68333333,-58.73333333,36,-34,41,-58,44
-58.6333333335225,-34.6666666668685,22,87574,SADM,MORON AERO,BUENOS AIRES,-34.66666667,-58.63333333,24,-34,40,-58,38
-60.8833333336585,-35.4500000001242,23,87550,SAZX,NUEVE DE JULIO,BUENOS AIRES,-35.45,-60.88333333,76,-35,27,-60,53
-60.2166666666521,-36.883333333501,24,87643,SAZF,OLAVARRIA AERO,BUENOS AIRES,-36.88333333,-60.21666667,166,-36,53,-60,13
-61.8999999999674,-35.8666666668544,25,87544,SAZP,PEHUAJO AERO,BUENOS AIRES,-35.86666667,-61.9,87,-35,52,-61,54
-62.3833333337491,-37.5999999999377,26,87679,SAZE,PIGUE AERO,BUENOS AIRES,-37.6,-62.38333333,304,-37,36,-62,23
-57.2833333332613,-35.3666666665766,27,87596,SAAI,PUNTA INDIO B.A.,BUENOS AIRES,-35.36666667,-57.28333333,22,-35,22,-57,17
-58.5833333329805,-34.4499999996876,28,87553,SADF,SAN FERNANDO,BUENOS AIRES,-34.45,-58.58333333,3,-34,27,-58,35
-58.7333333337082,-34.5499999996601,29,87569,SADI,SAN MIGUEL,BUENOS AIRES,-34.55,-58.73333333,26,-34,33,-58,44
-56.6833333330454,-36.5500000000509,30,87658,SAZL,SANTA TERESITA AERO,BUENOS AIRES,-36.55,-56.68333333,4,-36,33,-56,41
